,Context,English,Spanish,Finnish,German,Japanese,Portuguese,French,Italian,Korean,Turkish,Polish,,,,,,,,,,,,,,,
username,,Username,Nombre de usuario,Käyttäjänimi,Benutzername,ユーザー名,Usuário ,Nom d'utilisateur,Nome utente,사용자 이름,Kullanıcı Adı,Nazwa użytkownika,,,,,,,,,,,,,,,
reset_password,,Reset password,Restablecer contraseña,Nollaa salasana,Passwort zurücksetzen,パスワードをリセット,Resetar senha,Réinitialiser votre mot de passe,Reimposta la password,비밀번호 재설정,Şifreyi Sıfırla,Zresetuj hasło,,,,,,,,,,,,,,,
password_too_short,,Your password needs to be at least 6 letters!,¡Tu contraseña debe tener al menos 6 letras!,Salasanasi täytyy olla vähintään 6 kirjainta pitkä!,Dein Passwort muss mindestens 6 Zeichen lang sein!,パスワードは最低6文字必要です！,A sua senha precisa conter pelo menos 6 letras!,Votre mot de passe doit comporter au moins 6 lettres !,La tua password deve avere almeno 6 lettere!,비밀번호는 6글자 이상이어야 합니다!,Şifren en az 6 haneden oluşması gerekmektedir!,Twoje hasło musi składać się z co najmniej 6 liter!,,,,,,,,,,,,,,,
show_password,,Show password,Mostrar contraseña,Näytä salasana,Passwort anzeigen,パスワードを表示する,Mostrar senha,Afficher le mot de passe,Mostra la password,비밀번호 표시,Şifreyi Göster,Pokaż hasło,,,,,,,,,,,,,,,
email,,Email,Correo electrónico,Sähköposti,Email,Eメール,E-mail,Adresse électronique,Email,이메일,Eposta,E-mail,,,,,,,,,,,,,,,
password,,Password,Contraseña,Salasana,Passwort,パスワード,Senha,Mot de passe,Password,비밀번호,Şifre,Hasło,,,,,,,,,,,,,,,
confirm_password,,Confirm password,Confirmar contraseña,Vahvista salasana,Passwort bestätigen,パスワードの確認,Confirmar senha,Confirmer le mot de passe,Conferma la password,비밀번호 확인,Şifreyi Onayla,Potwierdź hasło,,,,,,,,,,,,,,,
spruce,,Spruce,Abeto,Kuusi,Fichte,スプルース,Abeto,Épicéa,Abete,가문비나무,Ladin,Świerk,,,,,,,,,,,,,,,
pine,,Pine,Pino,Mänty,Kiefer,松,Pinho,Pin,Pino,소나무,Çam,Sosna,,,,,,,,,,,,,,,
chestnut,,Chestnut,Castaño,Jalokastanja,Kastanie,チェスナット,Castanha,Châtaignier,Castagno,밤나무,Kestane,Kasztan,,,,,,,,,,,,,,,
spruce_log,,Spruce log,Tronco de abeto,Kuusen pölkky,Fichtenstamm,スプルース原木,Tronco de abeto,Bûche d'épicéa,Tronco di abete,가문비나무 통나무,Ladin Kütüğü,Kłoda Świerka,,,,,,,,,,,,,,,
pine_log,,Pine log,Tronco de pino,Männyn pölkky,Kieferstamm,パインログ,Tronco de pinho,Bûche de pin,Tronco di pino,소나무 통나무,Çam Kütüğü,Kłoda Sosny,,,,,,,,,,,,,,,
chestnut_log,,Chestnut log,Tronco de castaño,Jalokastanjan pölkky,Kastanienstamm,チェスナット丸太,Tronco de castanheiro,Bûche de châtaignier,Tronco di castagno,밤나무 통나무,Kestane Kütüğü,Kłoda Kasztana,,,,,,,,,,,,,,,
roach,,Roach,Rutilo,Särki,Plötze,ローチ,Pardelha-dos-alpes,Gardon,Lasca,민물고기,Kızılgöz,Płoć,,,,,,,,,,,,,,,
perch,,Perch,Perca,Ahven,Barsch,パーチ,Perca,Perche,Persico,퍼치,Levrek,Okoń,,,,,,,,,,,,,,,
pike,,Pike,Lucio,Hauki,Hecht,パイク,Lúcio,Brochet,Luccio,강꼬치고기,Turna,Szczupak,,,,,,,,,,,,,,,
level_requirement,,Level requirement,Requisito de nivel,Tarvittu taso,Level Voraussetzung,レベル要件,Nível requerido,Niveau requis,Livello richiesto,레벨 요구 사항,Seviye Gereksinimi,Wymagania dotyczące poziomu,,,,,,,,,,,,,,,
level_requirements,,Level requirements,Requisitos de nivel,Tarvitut tasot,Level Voraussetzungen,レベル要件,Nível requerido,Niveaux requis,Livelli richiesti,레벨 요구 사항,Seviye Gereksinimleri,Wymagania dotyczące poziomu,,,,,,,,,,,,,,,
requirements,,Requirements,Requisitos,Vaatimukset,Voraussetzungen,必要条件,Requerimentos,Condition requise,Requisiti,요구 사항,Gereksinimler,Wymagania,,,,,,,,,,,,,,,
seconds,,Seconds,Segundos,sekuntia,Sekunden,秒数,Segundos,Secondes,Secondi,초,Saniyeler,Sekundy,,,,,,,,,,,,,,,
level,,Level,Nivel,Taso,Level,レベル,Nível ,Niveau,Livello,레벨,Seviye,Poziom,,,,,,,,,,,,,,,
level_colon,,Level: {0},Nivel: {0},Taso: {0},Level: {0},レベル: {0｝,Nível: {0},Niveau : {0},Livello: {0},레벨: {0},Seviye: {0},Poziom: {0},,,,,,,,,,,,,,,
experience,,Experience,Experiencia,Kokemus,Erfahrung,経験,Experiência ,Expérience,Esperienza,경험치,Deneyim,Doświadczenie,,,,,,,,,,,,,,,
exp,,Exp.,Exp.,Kok.,Erf.,経験,Exp.,Exp.,Esp.,경험치,Dnym,Exp.,,,,,,,,,,,,,,,
account,,Account,Cuenta,Käyttäjä,Konto,アカウント,Conta,Compte,Account,계정,Hesap,Konto,,,,,,,,,,,,,,,
community,,Community,Comunidad,Yhteisö,Gemeinschaft,コミュニティ,Comunidade,Communauté,Comunità,커뮤니티,Topluluk,Społeczność,,,,,,,,,,,,,,,
skilling,,Skilling,Habilidades,Taidot,Fertigkeit,スキリング,Habilidade,Compétence,Abilità,스킬,Beceri Kazanımı,Umiejętności,,,,,,,,,,,,,,,
back,,Back,Volver,Takaisin,Zurück,戻る,Voltar,Retour,Indietro,뒤로,Geri,Powrót,,,,,,,,,,,,,,,
settings,,Settings,Configuración,Asetukset,Einstellungen,設定,Configurações ,Paramètres,Impostazioni,설정,Ayarlar,Ustawienia,,,,,,,,,,,,,,,
logging_in,,Logging you in... just a moment!,Iniciando sesión... ¡solo un instante!,Kirjataan sinua sisään... hetki pieni!,Du wirst angemeldet... ,ログインします...少々お待ちください！,Você está conectando... aguarde um momento!,Je vous connecte... un instant !,Stai accedendo...aspetta un momento!,로그인 중... 잠시만 기다려주세요!,Oturum açılıyor... az kaldı!,"Trwa Logowanie, proszę czekać...",,,,,,,,,,,,,,,
you_logged_out,,You successfully logged out.,Has cerrado sesión correctamente.,Kirjauduit onnistuneesti ulos.,Du wurdest erfolgreich abgemeldet,ログアウトに成功しました。,Você deslogou do jogo.,Vous vous êtes déconnecté avec succès.,Sei uscito dal gioco correttamente.,로그아웃에 성공했습니다.,Başarılı şekilde oturum açıldı.,Wylogowanie powiodło się.,,,,,,,,,,,,,,,
language,,Language,Idioma,Kieli,Sprache,言語,Linguagem,Langue,Lingua,언어,Dil,Język,,,,,,,,,,,,,,,
welcome,,"Hello, {0}! Welcome to {1}!","¡Hola, {0}! ¡Bienvenido a {1}!","Hei, {0}! Tervetuloa peliin {1}!","Hallo, {0}! Willkomen bei {1}!",こんにちは、{0}！1}へようこそ！,"Olá, {0}! Bem-vindo ao {1}!","Bonjour, {0} ! Bienvenue à {1} !",Benvenuto,"안녕하세요, {0}! 1}에 오신 것을 환영합니다!","Merhaba, {0}! {1}'e Hoş Geldin!","Witaj, {0}! Witamy w {1}!",,,,,,,,,,,,,,,
welcome_back,,"Welcome back, <color=#33D9B2>{0}</color>!","¡Bienvenido, <color=#33D9B2>{0}</color>!","Tervetuloa takaisin, <color=#33D9B2>{0}</color>!","Willkomen, <color=#33D9B2>{0}</color>!",おかえりなさい、<color=#33D9B2>{0}</color>！,"Bem-vindo de volta, <color=#33D9B2>{0}</color>!",Bon retour,"Bentornato, <color=#33D9B2>{0}</color>!","다시 오신 것을 환영합니다, <color=#33D9B2>{0}</color>!","Tekrar hoş geldin, {0}!","Witamy ponownie, <color=#33D9B2>{0}</color>!",,,,,,,,,,,,,,,
enter_email,,Please enter your email.,"Por favor, introduce tu correo electrónico.",Lisääthän sähköpostiosoitteesesi.,Bitte gib deine email ein.,Eメールを入力してください。,"Por favor, escreva seu e-mail.",Veuillez saisir votre adresse electronique.,"Per favore, inserisci la tua email.",이메일을 입력하세요.,Lütfen epostanı gir.,Wprowadź swój adres e-mail.,,,,,,,,,,,,,,,
enter_valid_email,,Please enter a valid email.,"Por favor, introduce un email válido.",Tarkista sähköpostiosoitteesesi.,Bitte gib eine gültige email ein.,有効なEメールを入力してください。,"Por favor, escreva um e-mail válido.",Veuillez saisir une adresse electronique valide.,"Per favore, inserisci un indirizzo email valido.",유효한 이메일을 입력하세요.,Lütfen geçerli bir eposta adresi girin.,Wprowadź prawidłowy adres e-mail.,,,,,,,,,,,,,,,
enter_email_placeholder,,Enter your email address...,Introduce tu dirección de correo electrónico...,Lisää sähköpostiosoitteesi...,gib deine email Adresse ein...,メールアドレスを入力してください...,Introduza seu e-mail...,Saisissez votre adresse electronique...,Inserisci la tua email...,이메일 주소를 입력하세요...,Eposta adresini gir,Wprowadź swój adres e-mail...,,,,,,,,,,,,,,,
verify_email_placeholder,,Verify your email address...,Verifica tu dirección de correo electrónico...,Vahvista sähköpostiosoitteesi...,bestätige deine email...,メールアドレスを確認する,Verifica la tua email...,Vérifiez votre adresse electronique...,Verifica la tua email...,이메일 주소 확인...,Eposta adresini doğrula,Zweryfikuj swój adres e-mail...,,,,,,,,,,,,,,,
enter_password_placeholder,,Enter a password...,Introduce una contraseña...,Syötä salasana...,Gib ein Password ein...,パスワードを入力してください。,Escreva uma senha...,Entrez un mot de passe...,Inserisci una password...,비밀번호를 입력하세요...,Bir şifre gir,Wprowadź hasło...,,,,,,,,,,,,,,,
verify_password_placeholder,,Verify your password...,Verifica tu contraseña...,Vahvista salasanasi...,bestätige dein Password...,パスワードを確認する,Verifique sua senha...,Vérifiez votre mot de passe...,Verifica la tua password...,비밀번호 확인...,Şifreni doğrula,Zweryfikuj hasło...,,,,,,,,,,,,,,,
enter_password,,Please enter your password.,"Por favor, introduce tu contraseña.",Lisääthän salasanasi.,Bitte geb dein Password ein.,パスワードを入力してください。,"Por favor, introduza sua senha.",Veuillez saisir votre mot de passe.,"Per favore, inserisci la tua password.",비밀번호를 입력하세요.,Lütfen şifreni gir,Wprowadź hasło.,,,,,,,,,,,,,,,
successful_account_reset,,Success! You should shortly receive an email with instructions on how to recover your password.,La contraseña es correcta. En breve recibirás un correo electrónico con instrucciones para recuperar tu contraseña.,Hurraa! Saat pian sähköpostiisi ohjeet salasanasi nollaamiseen.,Dein Passwort wurde erfolgreich zurückgesetzt! Du solltest in kürze eine email mit anweisungen erhalten.,成功しました！まもなく、パスワードの回復方法を記載したメールが届きます。,Sucesso! Você irá receber um e-mail em breve com instruções de como recuperar sua senha!,Vous avez réussi ! Vous devriez recevoir sous peu un courriel contenant des instructions sur la manière de récupérer votre mot de passe.,Ben fatto! A breve riceverai un email con le istruzioni su come recuperare la tua password.,성공했습니다! 곧 비밀번호 복구 방법에 대한 안내가 담긴 이메일을 받으실 수 있습니다.,Başarılı! Kısa süre içinde şifreni nasıl kurtarabileceğin hakkında bir eposta alacaksın,"Udało się! Wkrótce powinieneś otrzymać wiadomość e-mail z instrukcjami, jak odzyskać hasło.",,,,,,,,,,,,,,,
failed_account_reset,,Couldn't reset password! Please make sure the entered email is correct.,No se ha podido restablecer la contraseña. Asegúrate de que la dirección de correo electrónico introducida es correcta.,Salasanaa ei voitu nollata! Tarkistathan sähköpostiosoitteesi.,Passwort konnte nicht zurückgesetzt werden! Bitte kontrolliere das die angegebene email richtig ist.,パスワードをリセットできませんでした！入力されたEメールアドレスが正しいか確認してください。,Não foi possível resetar sua senha! Tenha certeza de que o e-mail inserido é válido.,Impossible de réinitialiser le mot de passe ! Veuillez vous assurer que l'email saisi est correct.,Impossibile resettare la password! Assicurati di aver inserito un indirizzo email valido.,비밀번호를 재설정할 수 없습니다! 입력한 이메일이 올바른지 확인하세요.,Şifresıfırlanamadı! Lütfen eposta adresinin doğru olduğundan emin ol.,"Nie można zresetować hasła! Upewnij się, że wprowadzony adres e-mail jest poprawny.",,,,,,,,,,,,,,,
login_error,,Error logging in: {0},Error al iniciar sesión: {0},Ongelma kirjautuessa: {0},Fehler beim Anmelden: {0},ログインエラーです： {0},Erro ao tentar entrar no jogo: {0},Erreur de connexion : {0},Errore durante l'accesso: {0},로그인하는 동안 오류가 발생했습니다: {0},Oturum açma hatası: {0},Błąd logowania: {0},,,,,,,,,,,,,,,
enter_username,,Please enter a username.,"Por favor, introduce un nombre de usuario.",Lisää käyttäjänimesi.,bitte gib eine Nutzernamen ein.,ユーザー名を入力してください。,"Por favor, escreva seu nome de usuário.",Veuillez saisir un nom d'utilisateur.,Per favore inserisci un nome utente.,사용자 아이디를 입력하세요.,Lütfen bir kullanıcı adı gir,Wprowadź nazwę użytkownika.,,,,,,,,,,,,,,,
confirm_password_2,,Please enter your password a second time to confirm it.,"Por favor, introduce tu contraseña una segunda vez para confirmarla.",Lisää salasanasi vielä toiseen kertaan.,Bitte gib dein Passwort nochmal ein um es zu bestätigen,確認のため、もう一度パスワードを入力してください。,"Por favor, confirme sua senha.",Veuillez saisir votre mot de passe une seconde fois pour le confirmer.,Per favore reinserisci la tua password per confermarla.,확인을 위해 비밀번호를 한 번 더 입력해주세요.,Lütfen şifreni doğrulamak için ikinci kez gir,"Wprowadź hasło po raz drugi, aby je potwierdzić.",,,,,,,,,,,,,,,
password_mismatch,,Entered passwords don't match!,Las contraseñas introducidas no coinciden.,Antamasi salasanat eivät täsmää!,die eingegebenen Passwörter sind nicht Identisch!,入力したパスワードが一致しません！,A senha inserida não confere!,Les mots de passe saisis ne correspondent pas !,Le password non combaciano!,입력한 비밀번호가 일치하지 않습니다!,Girilen şifreler uyuşmadı!,Wprowadzone hasła nie pasują!,,,,,,,,,,,,,,,
email_mismatch,,Entered emails don't match!,Los correos electrónicos introducidos no coinciden.,Antamasi sähköpostit eivät täsmää!,die eingegebenen email Addressen sind nicht Identisch!,入力されたEメールが一致しません！,O e-mail inserido não confere!,Les adresses electronique saisis ne correspondent pas !,Le email non combaciano!,입력한 이메일이 일치하지 않습니다!,Girilen epostalar uyuşmadı!,Wprowadzone adresy e-mail nie są zgodne!,,,,,,,,,,,,,,,
account_created,,Your account has been successfully created! You can now login.,Tu cuenta ha sido creada con éxito. Ya puedes iniciar sesión.,Käyttäjä rekisteröity! Voit nyt kirjautua sisään.,dein Konto wurde erfolgreich erstellt! du kannst dich jetzt anmelden.,アカウントは正常に作成されました！ログインできます。,Conta criada com sucesso! Você pode fazer login agora!,Votre compte a été créé avec succès ! Vous pouvez maintenant vous connecter.,Il tuo account è stato creato con successo. Ora puoi accedere.,계정이 성공적으로 생성되었습니다! 이제 로그인할 수 있습니다.,Hesabın başarılı şekilde oluşturuldu! Şimdi giriş yapabilirsin,Twoje konto zostało pomyślnie utworzone! Możesz się zalogować.,,,,,,,,,,,,,,,
login_timeout,,We had some trouble establishing a connection to the server. Please try again in a minute.,"Hemos tenido problemas para establecer la conexión con el servidor. Por favor, inténtalo de nuevo en un minuto.",Törmäsimme ongelmaan luodessa yhteyttä palvelimeen. Yritä uudestaan hetken kuluttua.,"Es konnte keine verbindung zum Server hergestellt werden, bitte probiere es in einigen Minuten nochmal.",サーバーへの接続に問題が発生しました。少々お待ちください。,Tivemos alguns problemas para estabelecer uma conexão com o servidor. Tente novamente em um minuto.,Nous avons eu des difficultés à établir une connexion avec le serveur. Veuillez réessayer dans une minute.,Abbiamo riscontrato dei problemi durante la connessione al server. Per favore riprova tra qualche minuto.,서버에 연결하는 데 문제가 발생했습니다. 잠시 후에 다시 시도해 주세요.,Sunucuyla bağlantı kurarken bazı sorunlar yaşadık. Lütfen bir dakika sonra tekrar deneyin.,Mieliśmy problemy z nawiązaniem połączenia z serwerem. Spróbuj ponownie za chwilę.,,,,,,,,,,,,,,,
shrimp,,Shrimp,Gamba,Katkarapu,Garnele,エビ,Camarão,Crevette,Gamberetto,새우,Karides,Krewetka,,,,,,,,,,,,,,,
mackerel,,Mackerel,Caballa,Makrilli,Makrele,サバ,Cavalinha,Maquereau,Sgombro,고등어,Orkinos,Makrela,,,,,,,,,,,,,,,
trout,,Trout,Trucha,Taimen,Forelle,マス,Truta,Truite,Trota,송어,Alabalık,Pstrąg,,,,,,,,,,,,,,,
salmon,,Salmon,Salmón,Lohi,Lachs,サーモン,Salmão ,Saumon,Salmone,연어,Somon,Łosoś,,,,,,,,,,,,,,,
carp,,Carp,Carpa,Karppi,Karpfen,コイ,Carpa,Carpe,Carpa,잉어,Sazan,Karp,,,,,,,,,,,,,,,
bass,,Bass,Lubina,Meriahven,Seebarsch,バス,Robalo,Bar,Branzino,농어,Levrek,Bass,,,,,,,,,,,,,,,
lobster,,Lobster,Langosta,Hummeri,Hummer,ロブスター,Lagosta,Homard,Aragosta,랍스터,Istakoz,Homar,,,,,,,,,,,,,,,
shark,,Shark,Tiburón,Haikala,Hai,サメ,Tubarão ,Requin,Squalo,상어,Köpekbalığı,Rekin,,,,,,,,,,,,,,,
raw_shrimp,,Raw shrimp,Gamba cruda,Raaka katkarapu,Rohe Garnele,生エビ,Camarão cru,Crevettes crues,Gamberetto crudo,생 새우,Çiğ Karides,Surowa Krewetka,,,,,,,,,,,,,,,
raw_mackerel,,Raw mackerel,Caballa cruda,Raaka makrilli,Rohe Makrele,生サバ,Cavalinha crua,Maquereau cru,Sgombro crudo,생 고등어,Çiğ Orkinos,Surowa Makrela,,,,,,,,,,,,,,,
raw_roach,,Raw roach,Rutilo crudo,Raaka särki,Rohe Plötze,生ローチ,Pardelha-dos-alpes crua,Gardon cru,Lasca cruda,생 민물고기,Çiğ Kızılgöz,Surowa Płoć,,,,,,,,,,,,,,,
raw_perch,,Raw perch,Perca cruda,Raaka ahven,Roher Barsch,生パーチ,Perca crua,Perche crue,Persico crudo,생 퍼치,Çiğ Levrek,Surowy Okoń,,,,,,,,,,,,,,,
raw_pike,,Raw pike,Lucio crudo,Raaka hauki,Roher Hecht,生パイク,Lúcio cru,Brochet cru,Luccio crudo,생 강꼬치고기,Çiğ Turna,Surowy Szczupak,,,,,,,,,,,,,,,
raw_trout,,Raw trout,Trucha cruda,Raaka taimen,Rohe Forelle,生マス,Truta crua,Truite crue,Trota cruda,생 송어,Çiğ Alabalık,Surowy Pstrąg,,,,,,,,,,,,,,,
raw_salmon,,Raw salmon,Salmón crudo,Raaka lohi,Roher Lachs,生鮭,Salmão cru,Saumon cru,Salmone crudo,생 연어,Çiğ Somon,Surowy Łosoś,,,,,,,,,,,,,,,
raw_carp,,Raw carp,Carpa cruda,Raaka karppi,Roher Karpfen,生鯉,Carpa crua,Carpe crue,Carpa cruda,생 잉어,Çiğ Sazan,Surowy Karp,,,,,,,,,,,,,,,
raw_bass,,Raw bass,Lubina cruda,Raaka meriahven,Roher Seebarsch,生バス,Robalo cru,Bar cru,Branzino crudo,생 농어,Çiğ Levrek,Surowy Labraks,,,,,,,,,,,,,,,
raw_lobster,,Raw lobster,Langosta cruda,Raaka hummeri,Roher Hummer,生ロブスター,Lagosta crua,Homard cru,Aragosta cruda,생 랍스터,Çiğ Istakoz,Surowy Homar,,,,,,,,,,,,,,,
raw_shark,,Raw shark,Tiburón crudo,Raaka haikala,Roher Hai,生シャーク,Tubarão cru,Requin cru,Squalo crudo,생 상어,Çiğ Köpekbalığı,Surowy Rekin,,,,,,,,,,,,,,,
oak,,Oak,Roble,Tammi,Eiche,オーク,Carvalho,Chêne,Quercia,오크나무,Meşe,Dąb,,,,,,,,,,,,,,,
maple,,Maple,Arce,Metsävaahtera,Ahorn,メープル,Bordo,Érable,Acero,단풍나무,Akçaağaç,Klon,,,,,,,,,,,,,,,
teak,,Teak,Teca,Tiikki,Teak,チーク,Teca,Teck,Teak,티크나무,Tik Ağacı,Tek,,,,,,,,,,,,,,,
mahogany,,Mahogany,Caoba,Mahonki,Mahagoni,マホガニー,Mogno,Acajou,Mogano,마호가니나무,Maun,Mahoń,,,,,,,,,,,,,,,
yew,,Yew,Tejo,Marjakuusi,Eibe,イチイ,Teixo,If,Tasso,주목나무,Porsuk Ağacı,Cis,,,,,,,,,,,,,,,
oak_log,,Oak log,Tronco de roble,Tammen pölkky,Eichenstamm,オーク丸太,Tronco de carvalho,Bûche de chêne,Tronco di quercia,오크 통나무,Meşe Kütüğü,Kłoda Dębowa,,,,,,,,,,,,,,,
maple_log,,Maple log,Tronco de arce,Metsävaahteran pölkky,Ahornstamm,メープル丸太,Tronco de bordo,Bûche d'érable,Tronco di acero,단풍 통나무,Akçaağaç kütüğü,Kłoda Klonu,,,,,,,,,,,,,,,
teak_log,,Teak log,Tronco de teca,Tiikin pölkky,Teakstamm,チーク丸太,Tronco de teca,Bûche de teck,Tronco di teak,티크 통나무,Tik kütüğü,Kłoda drewna Tekowego,,,,,,,,,,,,,,,
mahogany_log,,Mahogany log,Tronco de caoba,Mahonkipölkky,Mahagonistamm,マホガニー丸太,Tronco de mogno,Bûche d'acajou,Tronco di mogano,마호가니 통나무,Maun kütüğü,Kłoda Mahoniu,,,,,,,,,,,,,,,
yew_log,,Yew log,Tronco de tejo,Marjakuusen pölkky,Eibenstamm,イチイ丸太,Tronco de teixo,Bûche d'if,Tronco di tasso,주목 통나무,Porsuk Kütüğü,Kłoda Cisowa,,,,,,,,,,,,,,,
close,,Close,Cerrar,Sulje,Schließen,閉じる,Fechar,Fermer,Chiudi,닫기,Kapat,Zamknij,,,,,,,,,,,,,,,
sell_for,,Sell for {0},Vender por {0},Myy hintaan {0},Verkaufe für {0},0}で売る,Vender por {0},Vendre pour {0},Vendi per {0},판매 가격 {0},Karşılığında sat {0},Sprzedaj za {0},,,,,,,,,,,,,,,
sell,,Sell,Vender,Myy,Verkauf,売る,Vender,Vendre,Vendi,판매,Sat,Sprzedaj,,,,,,,,,,,,,,,
equip,,Equip,Equipar,Pue päälle,Ausrüsten,装備する,Equipar,Équiper,Equipaggia,장착,Kuşan,Wyposaż,,,,,,,,,,,,,,,
eat,,Eat (+{0}),Comer (+{0}),Syö (+{0}),Essen (+{0}),食べる (+{0}),Comer (+{0}),Manger (+{0}),Mangia (+{0}),먹기 (+{0}),Ye (+{0}),Jedz (+{0}),,,,,,,,,,,,,,,
eat_1,,Eat,Comer,Syö,Essen,食べる,Comer,Manger,Mangia,먹기,Ye,Jedz,,,,,,,,,,,,,,,
drink_1,,Drink,Beber,Juo,Trinken,飲む,Beber,Boire,Bevi,마시기,İç,Pij,,,,,,,,,,,,,,,
send_to_clan,,Send to clan vault,Enviar a la bóveda del clan,Lähetä klaanisi holviin,In Clantresor legen,藩国の金庫に送る,Enviar para o Cofre do Clã,Envoyer au coffre-fort du clan,Invia all'inventario del clan,클랜 금고로 보내기,Klan kasasına gönder,Wyślij do skarbca klanowego,,,,,,,,,,,,,,,
stats,,Stats,Estadísticas,Statsit,Werte,ステータス,Status,Statistiques,Statistiche,스텟,İstatistikler,Statystyki,,,,,,,,,,,,,,,
offensive_stats,,Offensive stats,Estadísticas ofensivas,Offensiiviset statsit,Offensive Werte,オフェンス,Estatísticas ofensivas,Statistiques offensives,Statistiche attacco,공격 스텟,Saldırı İstatistiği,Statystyki ofensywne,,,,,,,,,,,,,,,
defensive_stats,,Defensive stats,Estadísticas defensivas,Defensiivet statsit,Defensive Werte,ディフェンスのステータス,Estatísticas defensivas,Statistiques défensives,Statistiche difesa,방어 스텟,Defansif İstatistik,Statystyki defensywne,,,,,,,,,,,,,,,
join_guild_to_complete_action,,You must join a clan before you can do this!,¡Debes unirte a un clan para poder hacer esto!,Sinun täytyy olla klaanissa tehdäksesi tuon!,Du must einem Clan beitreten um dies zu tun!,これを行うにはクランに参加する必要があります！,Você precisa fazer parte de um Clã para fazer isso!,Vous devez rejoindre un clan avant de pouvoir le faire !,Devi entrare in un clan prima di poterlo fare!,클랜에 가입해야만 사용할 수 있습니다!,Bunu yapmak için önce klana girmelisin!,"Musisz dołączyć do klanu, zanim będziesz mógł to zrobić!",,,,,,,,,,,,,,,
general,,General,General,Yleinen,Allgemein,一般,Geral,Général,Generale,일반,Genel,Ogólne,,,,,,,,,,,,,,,
help,,Help,Ayuda,Apu,Hilfe,ヘルプ,Ajuda,Aide,Aiuto,도움,Yardım,Pomoc,,,,,,,,,,,,,,,
trade,,Trade,Comercio,Kaupankäynti,Handel,トレード,Negociar,Echange,Scambio,거래,Ticaret,Handel,,,,,,,,,,,,,,,
